,A0E0101_sj,A0E0103_sj,A0E0104_sj,A0E0105_sj,A0E0106_sj,A0E0102_sj,A0E0107_sj
198512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
